2026-07-13 01:38:24,356 | hybrid_retriever | DEBUG | Hybrid retrieval finished: blended 8 semantic and 6 lexical candidates to return 5 top matches
2026-07-13 01:38:24,357 | answer_generator | INFO | Sending request to Gemini model (3514 chars, 5 segments)
2026-07-13 01:38:26,502 | google_genai.models | INFO | AFC is enabled with max remote calls: 10.
2026-07-13 01:38:26,504 | httpcore.connection | DEBUG | connect_tcp.started host='generativelanguage.googleapis.com' port=443 local_address=None timeout=None socket_options=None
2026-07-13 01:38:26,535 | httpcore.connection | DEBUG | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001D7694CD7F0>
2026-07-13 01:38:26,535 | httpcore.connection | DEBUG | start_tls.started ssl_context=<ssl.SSLContext object at 0x000001D7671384B0> server_hostname='generativelanguage.googleapis.com' timeout=None
2026-07-13 01:38:26,567 | httpcore.connection | DEBUG | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001D7693E6850>
2026-07-13 01:38:26,567 | httpcore.http11 | DEBUG | send_request_headers.started request=<Request [b'POST']>
2026-07-13 01:38:26,567 | httpcore.http11 | DEBUG | send_request_headers.complete
2026-07-13 01:38:26,567 | httpcore.http11 | DEBUG | send_request_body.started request=<Request [b'POST']>
2026-07-13 01:38:26,568 | httpcore.http11 | DEBUG | send_request_body.complete
2026-07-13 01:38:26,568 | httpcore.http11 | DEBUG | receive_response_headers.started request=<Request [b'POST']>
2026-07-13 01:38:45,301 | httpcore.http11 | DEBUG | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'X-Gemini-Service-Tier', b'standard'), (b'Content-Type', b'application/json; charset=UTF-8'), (b'Vary', b'Origin'), (b'Vary', b'X-Origin'), (b'Vary', b'Referer'), (b'Content-Encoding', b'gzip'), (b'Date', b'Sun, 12 Jul 2026 20:08:45 GMT'), (b'Server', b'scaffolding on HTTPServer2'), (b'X-XSS-Protection', b'0'), (b'X-Frame-Options', b'SAMEORIGIN'), (b'X-Content-Type-Options', b'nosniff'), (b'Server-Timing', b'gfet4t7; dur=18706'), (b'Alt-Svc', b'h3=":443"; ma=2592000,h3-29=":443"; ma=2592000'), (b'Transfer-Encoding', b'chunked')])
2026-07-13 01:38:45,302 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-flash-latest:generateContent "HTTP/1.1 200 OK"
2026-07-13 01:38:45,303 | httpcore.http11 | DEBUG | receive_response_body.started request=<Request [b'POST']>
2026-07-13 01:38:45,304 | httpcore.http11 | DEBUG | receive_response_body.complete
2026-07-13 01:38:45,304 | httpcore.http11 | DEBUG | response_closed.started
2026-07-13 01:38:45,304 | httpcore.http11 | DEBUG | response_closed.complete
2026-07-13 01:38:45,305 | google_genai.models | INFO | AFC remote call 1 is done.
2026-07-13 01:38:45,306 | answer_generator | INFO | Gemini API execution succeeded. Length: 201 characters
2026-07-13 01:38:45,306 | httpcore.connection | DEBUG | close.started
2026-07-13 01:38:45,307 | httpcore.connection | DEBUG | close.complete
2026-07-13 01:38:45,363 | vector_store | DEBUG | Retrieved 8 chunks (highest similarity: 0.2305)
2026-07-13 01:38:45,364 | hybrid_retriever | DEBUG | Hybrid retrieval finished: blended 8 semantic and 4 lexical candidates to return 5 top matches
2026-07-13 01:38:45,364 | answer_generator | INFO | Sending request to Gemini model (3511 chars, 5 segments)
2026-07-13 01:38:45,988 | google_genai.models | INFO | AFC is enabled with max remote calls: 10.
2026-07-13 01:38:45,990 | httpcore.connection | DEBUG | connect_tcp.started host='generativelanguage.googleapis.com' port=443 local_address=None timeout=None socket_options=None
2026-07-13 01:38:46,037 | httpcore.connection | DEBUG | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001D7694DD1D0>
2026-07-13 01:38:46,037 | httpcore.connection | DEBUG | start_tls.started ssl_context=<ssl.SSLContext object at 0x000001D7671389B0> server_hostname='generativelanguage.googleapis.com' timeout=None
2026-07-13 01:38:46,068 | httpcore.connection | DEBUG | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001D769466B10>
2026-07-13 01:38:46,069 | httpcore.http11 | DEBUG | send_request_headers.started request=<Request [b'POST']>
2026-07-13 01:38:46,069 | httpcore.http11 | DEBUG | send_request_headers.complete
2026-07-13 01:38:46,069 | httpcore.http11 | DEBUG | send_request_body.started request=<Request [b'POST']>
2026-07-13 01:38:46,070 | httpcore.http11 | DEBUG | send_request_body.complete
2026-07-13 01:38:46,070 | httpcore.http11 | DEBUG | receive_response_headers.started request=<Request [b'POST']>
2026-07-13 01:39:01,611 | httpcore.http11 | DEBUG | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'X-Gemini-Service-Tier', b'standard'), (b'Content-Type', b'application/json; charset=UTF-8'), (b'Vary', b'Origin'), (b'Vary', b'X-Origin'), (b'Vary', b'Referer'), (b'Content-Encoding', b'gzip'), (b'Date', b'Sun, 12 Jul 2026 20:09:02 GMT'), (b'Server', b'scaffolding on HTTPServer2'), (b'X-XSS-Protection', b'0'), (b'X-Frame-Options', b'SAMEORIGIN'), (b'X-Content-Type-Options', b'nosniff'), (b'Server-Timing', b'gfet4t7; dur=15511'), (b'Alt-Svc', b'h3=":443"; ma=2592000,h3-29=":443"; ma=2592000'), (b'Transfer-Encoding', b'chunked')])
2026-07-13 01:39:01,612 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-flash-latest:generateContent "HTTP/1.1 200 OK"
2026-07-13 01:39:01,613 | httpcore.http11 | DEBUG | receive_response_body.started request=<Request [b'POST']>
2026-07-13 01:39:01,614 | httpcore.http11 | DEBUG | receive_response_body.complete
2026-07-13 01:39:01,614 | httpcore.http11 | DEBUG | response_closed.started
2026-07-13 01:39:01,614 | httpcore.http11 | DEBUG | response_closed.complete
2026-07-13 01:39:01,615 | google_genai.models | INFO | AFC remote call 1 is done.
2026-07-13 01:39:01,616 | answer_generator | INFO | Gemini API execution succeeded. Length: 199 characters
2026-07-13 01:39:01,617 | httpcore.connection | DEBUG | close.started
2026-07-13 01:39:01,618 | httpcore.connection | DEBUG | close.complete
2026-07-13 01:39:01,684 | vector_store | DEBUG | Retrieved 8 chunks (highest similarity: 0.0349)
2026-07-13 01:39:01,685 | hybrid_retriever | DEBUG | Hybrid retrieval finished: blended 8 semantic and 1 lexical candidates to return 5 top matches
2026-07-13 01:39:01,685 | answer_generator | INFO | Sending request to Gemini model (3450 chars, 5 segments)
2026-07-13 01:39:02,361 | google_genai.models | INFO | AFC is enabled with max remote calls: 10.
2026-07-13 01:39:02,363 | httpcore.connection | DEBUG | connect_tcp.started host='generativelanguage.googleapis.com' port=443 local_address=None timeout=None socket_options=None
2026-07-13 01:39:02,409 | httpcore.connection | DEBUG | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001D7694668B0>
2026-07-13 01:39:02,410 | httpcore.connection | DEBUG | start_tls.started ssl_context=<ssl.SSLContext object at 0x000001D7694BB570> server_hostname='generativelanguage.googleapis.com' timeout=None
2026-07-13 01:39:02,440 | httpcore.connection | DEBUG | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001D76946B1D0>
2026-07-13 01:39:02,440 | httpcore.http11 | DEBUG | send_request_headers.started request=<Request [b'POST']>
2026-07-13 01:39:02,441 | httpcore.http11 | DEBUG | send_request_headers.complete
2026-07-13 01:39:02,441 | httpcore.http11 | DEBUG | send_request_body.started request=<Request [b'POST']>
2026-07-13 01:39:02,441 | httpcore.http11 | DEBUG | send_request_body.complete
2026-07-13 01:39:02,441 | httpcore.http11 | DEBUG | receive_response_headers.started request=<Request [b'POST']>
